ISO3,Year,predicted_probability
HND,2000,0.020470627800325485
HND,2002,0.020367294806948082
HND,2003,0.02167445528321259
HND,2004,0.023597328386636852
HND,2005,0.02072266438139457
HND,2006,0.020788023081156737
HND,2007,0.02084538235763724
HND,2008,0.02172709611773488
HND,2009,0.0219812766393107
HND,2010,0.02265957431732883
HND,2011,0.021522615954069093
HND,2012,0.021487016929816527
HND,2013,0.0233978274182704
HND,2014,0.021814325018183613
HND,2015,0.020777558783540123
HND,2016,0.020869882836216085
HND,2017,0.021486758387709054
HND,2018,0.02054264155482743
HRV,1996,0.02212288917936965
HRV,1998,0.34758572760483314
HRV,2000,0.02423014675301514
HRV,2002,0.020619251053153452
HRV,2003,0.02031292372752626
HRV,2004,0.02025262073477774
HRV,2005,0.02025262073477774
HRV,2006,0.02025262073477774
HRV,2007,0.02025262073477774
HRV,2008,0.02025262073477774
HRV,2009,0.020303997295744086
HRV,2010,0.02025262073477774
HRV,2011,0.02081037145395179
HRV,2012,0.020668805569530106
HRV,2013,0.02025262073477774
HRV,2014,0.020562374839724683
HRV,2015,0.02025262073477774
HRV,2016,0.02025262073477774
HRV,2017,0.020274599017483155
HRV,2018,0.02025262073477774
HTI,1996,0.027659133199148016
HTI,1998,0.25123237268491677
HTI,2000,0.05604265817718126
HTI,2002,0.05475397934567008
HTI,2003,0.5361417261167274
HTI,2006,0.039005761824509155
HTI,2007,0.026364431092867652
HTI,2008,0.03229852249427342
HTI,2009,0.028083632476594806
HTI,2017,0.03237994704689418
HTI,2018,0.026630534065751537
HUN,1996,0.02200687595095072
HUN,1998,0.021601969155680443
HUN,2000,0.021093909792472748
HUN,2002,0.021459483859095352
HUN,2003,0.020822978325401975
HUN,2004,0.021254466941098216
HUN,2005,0.020561090013470115
HUN,2006,0.02054264155482743
HUN,2007,0.021173406573195445
HUN,2008,0.0208771220739361
HUN,2009,0.020818646593172074
HUN,2010,0.020561090013470115
HUN,2011,0.02025262073477774
HUN,2012,0.02025262073477774
HUN,2013,0.02025262073477774
HUN,2014,0.02073158953106884
HUN,2015,0.02078006805833109
HUN,2016,0.02068054002129348
HUN,2017,0.02275141378858228
HUN,2018,0.0227728554446687
IDN,1996,0.021142168572758652
IDN,1998,0.03271050602449412
IDN,2000,0.020634682752135893
IDN,2002,0.022206359558336285
IDN,2003,0.021412630649919873
IDN,2004,0.02233302233959604
IDN,2005,0.023435433907974246
IDN,2006,0.022480391567554672
IDN,2007,0.020456318648619107
IDN,2008,0.0230127775780995
IDN,2009,0.02054264155482743
IDN,2010,0.02392791738035803
IDN,2011,0.020545615142919877
IDN,2012,0.02044472850360882
IDN,2013,0.02081063115708132
IDN,2014,0.020444375466700897
IDN,2015,0.020779097079017858
